CustomerId,surname,middle,given,sex,age,bday,est_income
15565701,Ferri,J,Susan,Female,39,1978-06-07," PHP 63,000.00 "
15565706,Akobundu,I,David,Male,35,1982-06-14," PHP 56,000.00 "
15565714,Cattaneo,S,Joseph,Male,47,1970-06-05," PHP 73,000.00 "
15565779,Kent,N,Betty,Female,30,1987-05-18," PHP 165,000.00 "
15565796,Docherty,O,Donald,Male,48,1969-05-27," PHP 27,000.00 "
15565806,Toosey,S,Donald,Male,38,1979-06-26," PHP 35,000.00 "
15565878,Bates,G,Michael,Male,,," PHP 167,000.00 "
15565879,Riley,P,Lisa,Female,28,1989-06-17," PHP 36,000.00 "
15565891,Dipietro,H,Edward,Male,39,1978-05-27," PHP 39,000.00 "
15565996,Arnold,G,John,Male,44,1973-06-09," PHP 117,000.00 "
15566030,Tu,H,Charles,Male,41,1976-05-27," PHP 59,000.00 "
15566091,Thomsen,M,Sharon,Female,32,1985-05-09," PHP 52,000.00 "
15566111,Estes,T,Richard,Male,39,1978-05-12," PHP 56,000.00 "
15566139,Ts'ui,C,Sharon,Female,37,1980-06-02," PHP 34,000.00 "
15566156,Franklin,S,Margaret,Female,44,1973-06-16," PHP 119,000.00 "
15566211,Hsu,K,Patricia,Female,41,1976-05-30," PHP 5,000.00 "
15566251,Ferrari,R,Sharon,Female,37,1980-06-18," PHP 64,000.00 "
15566253,Manning,K,Robert,Male,44,1973-05-14," PHP 129,000.00 "
15566269,Chialuka,N,William,Male,25,1992-06-03," PHP 59,000.00 "
15566292,Okwuadigbo,N,Donald,Male,36,1981-06-17," PHP 35,000.00 "
15566295,Sanders,B,Jennifer,Female,33,1984-05-08," PHP 105,000.00 "
15566312,Jolly,G,Sharon,Female,42,1975-06-08," PHP 152,000.00 "
15566378,Tillman,H,George,Male,48,1969-05-19," PHP 116,000.00 "
15566380,Drury,K,Nancy,Female,33,1984-05-14," PHP 113,000.00 "
15566467,Hannah,Q,Sandra,Female,32,1985-06-25," PHP 163,000.00 "
15566494,Fang,N,David,Male,45,1972-06-13," PHP 59,000.00 "
15566495,Hanson,R,Margaret,Female,24,1993-06-15," PHP 46,000.00 "
15566531,Iloerika,E,Joseph,Male,33,1984-05-24," PHP 160,000.00 "
15566543,Aldridge,C,Richard,Male,44,1973-06-08," PHP 69,000.00 "
